날짜,시군구지역코드,발생건수(건)
2023-10-01,11110,6
2023-10-01,11140,9
2023-10-01,11170,8
2023-10-01,11200,15
2023-10-01,11215,6
2023-10-01,11230,64
2023-10-01,11260,21
2023-10-01,11290,9
2023-10-01,11305,11
2023-10-01,11320,6
2023-10-01,11350,37
2023-10-01,11380,21
2023-10-01,11410,10
2023-10-01,11440,8
2023-10-01,11470,17
2023-10-01,11500,32
2023-10-01,11530,17
2023-10-01,11545,8
2023-10-01,11560,16
2023-10-01,11590,13
2023-10-01,11620,9
2023-10-01,11650,26
2023-10-01,11680,15
2023-10-01,11710,23
2023-10-01,11740,22
2023-10-01,26110,1
2023-10-01,26140,11
2023-10-01,26170,10
2023-10-01,26200,18
2023-10-01,26230,14
2023-10-01,26260,34
2023-10-01,26290,13
2023-10-01,26320,13
2023-10-01,26350,20
2023-10-01,26380,25
2023-10-01,26410,19
2023-10-01,26440,13
2023-10-01,26470,12
2023-10-01,26500,5
2023-10-01,26530,9
2023-10-01,26710,10
2023-10-01,27110,6
2023-10-01,27140,26
2023-10-01,27170,11
2023-10-01,27200,12
2023-10-01,27230,32
2023-10-01,27260,32
2023-10-01,27290,45
2023-10-01,27710,35
2023-10-01,28110,14
2023-10-01,28140,5
2023-10-01,28170,0
2023-10-01,28185,67
2023-10-01,28200,39
2023-10-01,28237,35
2023-10-01,28245,28
2023-10-01,28260,92
2023-10-01,28710,8
2023-10-01,28720,2
2023-10-01,29110,13
2023-10-01,29140,23
2023-10-01,29155,35
2023-10-01,29170,42
2023-10-01,29200,16
2023-10-01,30110,12
2023-10-01,30140,14
2023-10-01,30170,49
2023-10-01,30200,46
2023-10-01,30230,11
2023-10-01,31110,12
2023-10-01,31140,13
2023-10-01,31170,10
2023-10-01,31200,9
2023-10-01,31710,14
2023-10-01,36110,105
2023-10-01,41111,8
2023-10-01,41113,34
2023-10-01,41115,10
2023-10-01,41117,21
2023-10-01,41131,8
2023-10-01,41133,19
2023-10-01,41135,16
2023-10-01,41150,23
2023-10-01,41171,6
2023-10-01,41173,23
2023-10-01,41190,70
2023-10-01,41210,10
2023-10-01,41220,88
2023-10-01,41250,5
2023-10-01,41271,22
2023-10-01,41273,44
2023-10-01,41281,45
2023-10-01,41285,15
2023-10-01,41287,19
2023-10-01,41290,2
2023-10-01,41310,29
2023-10-01,41360,43
2023-10-01,41370,7
2023-10-01,41390,61
2023-10-01,41410,25
2023-10-01,41430,14
2023-10-01,41450,26
2023-10-01,41461,9
2023-10-01,41463,17
2023-10-01,41465,7
2023-10-01,41480,20
2023-10-01,41500,17
2023-10-01,41550,33
2023-10-01,41570,50
2023-10-01,41590,90
2023-10-01,41610,19
2023-10-01,41630,21
2023-10-01,41650,13
2023-10-01,41670,6
2023-10-01,41800,2
2023-10-01,41820,3
2023-10-01,41830,7
2023-10-01,42110,0
2023-10-01,42130,0
2023-10-01,42170,0
2023-10-01,42210,0
2023-10-01,42230,0
2023-10-01,42720,0
2023-10-01,42750,0
2023-10-01,42770,0
2023-10-01,43111,10
2023-10-01,43112,16
2023-10-01,43113,19
2023-10-01,43114,21
2023-10-01,43130,19
2023-10-01,43150,3
2023-10-01,43720,4
2023-10-01,43730,2
2023-10-01,43740,5
2023-10-01,43745,0
2023-10-01,43750,4
2023-10-01,43760,1
2023-10-01,43770,9
2023-10-01,43800,0
2023-10-01,44131,26
2023-10-01,44133,29
2023-10-01,44150,18
2023-10-01,44180,6
2023-10-01,44200,44
2023-10-01,44210,5
2023-10-01,44230,11
2023-10-01,44250,2
2023-10-01,44270,64
2023-10-01,44710,2
2023-10-01,44760,1
2023-10-01,44770,10
2023-10-01,44790,5
2023-10-01,44800,6
2023-10-01,44810,3
2023-10-01,44825,2
2023-10-01,45111,25
2023-10-01,45113,54
2023-10-01,45130,32
2023-10-01,45140,49
2023-10-01,45180,21
2023-10-01,45190,17
2023-10-01,45210,15
2023-10-01,45710,21
2023-10-01,45720,4
2023-10-01,45730,2
2023-10-01,45740,2
2023-10-01,45750,6
2023-10-01,45770,4
2023-10-01,45790,10
2023-10-01,45800,10
2023-10-01,46110,40
2023-10-01,46130,23
2023-10-01,46150,91
2023-10-01,46170,29
2023-10-01,46230,14
2023-10-01,46710,8
2023-10-01,46720,4
2023-10-01,46730,2
2023-10-01,46770,7
2023-10-01,46780,7
2023-10-01,46790,8
2023-10-01,46800,5
2023-10-01,46810,14
2023-10-01,46820,8
2023-10-01,46830,12
2023-10-01,46840,37
2023-10-01,46860,8
2023-10-01,46870,8
2023-10-01,46880,10
2023-10-01,46890,6
2023-10-01,46900,4
2023-10-01,46910,17
2023-10-01,47111,39
2023-10-01,47113,24
2023-10-01,47130,16
2023-10-01,47150,15
2023-10-01,47170,11
2023-10-01,47190,22
2023-10-01,47210,5
2023-10-01,47230,9
2023-10-01,47250,1
2023-10-01,47280,4
2023-10-01,47290,21
2023-10-01,47730,13
2023-10-01,47750,1
2023-10-01,47760,1
2023-10-01,47770,5
2023-10-01,47820,3
2023-10-01,47830,3
2023-10-01,47840,10
2023-10-01,47850,9
2023-10-01,47900,8
2023-10-01,47920,4
2023-10-01,47930,6
2023-10-01,47940,1
2023-10-01,48121,55
2023-10-01,48123,56
2023-10-01,48125,24
2023-10-01,48127,26
2023-10-01,48129,21
2023-10-01,48170,27
2023-10-01,48220,2
2023-10-01,48240,10
2023-10-01,48250,33
2023-10-01,48270,14
2023-10-01,48310,27
2023-10-01,48330,18
2023-10-01,48720,6
2023-10-01,48730,13
2023-10-01,48740,15
2023-10-01,48820,7
2023-10-01,48840,6
2023-10-01,48850,5
2023-10-01,48860,4
2023-10-01,48870,2
2023-10-01,48880,5
2023-10-01,48890,6
2023-10-01,49110,17
2023-10-01,49130,12
2023-10-02,11110,22
2023-10-02,11140,23
2023-10-02,11170,46
2023-10-02,11200,74
2023-10-02,11215,110
2023-10-02,11230,139
2023-10-02,11260,87
2023-10-02,11290,82
2023-10-02,11305,87
2023-10-02,11320,183
2023-10-02,11350,118
2023-10-02,11380,145
2023-10-02,11410,102
2023-10-02,11440,49
2023-10-02,11470,86
2023-10-02,11500,127
2023-10-02,11530,89
2023-10-02,11545,53
2023-10-02,11560,80
2023-10-02,11590,75
2023-10-02,11620,75
2023-10-02,11650,111
2023-10-02,11680,155
2023-10-02,11710,127
2023-10-02,11740,122
2023-10-02,26110,9
2023-10-02,26140,36
2023-10-02,26170,37
2023-10-02,26200,52
2023-10-02,26230,90
2023-10-02,26260,82
2023-10-02,26290,55
2023-10-02,26320,180
2023-10-02,26350,104
2023-10-02,26380,123
2023-10-02,26410,65
2023-10-02,26440,22
2023-10-02,26470,43
2023-10-02,26500,35
2023-10-02,26530,49
2023-10-02,26710,31
2023-10-02,27110,22
2023-10-02,27140,96
2023-10-02,27170,41
2023-10-02,27200,32
2023-10-02,27230,79
2023-10-02,27260,127
2023-10-02,27290,163
2023-10-02,27710,107
2023-10-02,28110,37
2023-10-02,28140,25
2023-10-02,28170,0
2023-10-02,28185,157
2023-10-02,28200,208
2023-10-02,28237,190
2023-10-02,28245,75
2023-10-02,28260,233
2023-10-02,28710,15
2023-10-02,28720,0
2023-10-02,29110,72
2023-10-02,29140,79
2023-10-02,29155,89
2023-10-02,29170,175
2023-10-02,29200,123
2023-10-02,30110,59
2023-10-02,30140,59
2023-10-02,30170,149
2023-10-02,30200,125
2023-10-02,30230,76
2023-10-02,31110,73
2023-10-02,31140,114
2023-10-02,31170,19
2023-10-02,31200,91
2023-10-02,31710,57
2023-10-02,36110,192
2023-10-02,41111,66
2023-10-02,41113,167
2023-10-02,41115,75
2023-10-02,41117,62
2023-10-02,41131,68
2023-10-02,41133,60
2023-10-02,41135,102
2023-10-02,41150,79
2023-10-02,41171,47
2023-10-02,41173,101
2023-10-02,41190,244
2023-10-02,41210,78
2023-10-02,41220,296
2023-10-02,41250,22
2023-10-02,41271,90
2023-10-02,41273,146
2023-10-02,41281,99
2023-10-02,41285,53
2023-10-02,41287,69
2023-10-02,41290,14
2023-10-02,41310,45
2023-10-02,41360,181
2023-10-02,41370,59
2023-10-02,41390,145
2023-10-02,41410,83
2023-10-02,41430,36
2023-10-02,41450,113
2023-10-02,41461,56
2023-10-02,41463,74
2023-10-02,41465,55
2023-10-02,41480,268
2023-10-02,41500,38
2023-10-02,41550,70
2023-10-02,41570,156
2023-10-02,41590,230
2023-10-02,41610,96
2023-10-02,41630,72
2023-10-02,41650,36
2023-10-02,41670,22
2023-10-02,41800,12
2023-10-02,41820,9
2023-10-02,41830,21
2023-10-02,42110,0
2023-10-02,42130,0
2023-10-02,42150,0
2023-10-02,42190,0
2023-10-02,42730,0
2023-10-02,43111,52
2023-10-02,43112,45
2023-10-02,43113,81
2023-10-02,43114,51
2023-10-02,43130,66
2023-10-02,43150,49
2023-10-02,43720,14
2023-10-02,43730,29
2023-10-02,43740,15
2023-10-02,43745,4
2023-10-02,43750,14
2023-10-02,43760,6
2023-10-02,43770,22
2023-10-02,43800,8
2023-10-02,44131,107
2023-10-02,44133,214
2023-10-02,44150,42
2023-10-02,44180,70
2023-10-02,44200,196
2023-10-02,44210,29
2023-10-02,44230,32
2023-10-02,44250,10
2023-10-02,44270,110
2023-10-02,44710,9
2023-10-02,44760,19
2023-10-02,44770,11
2023-10-02,44790,11
2023-10-02,44800,35
2023-10-02,44810,26
2023-10-02,44825,21
2023-10-02,45111,75
2023-10-02,45113,106
2023-10-02,45130,60
2023-10-02,45140,168
2023-10-02,45180,58
2023-10-02,45190,23
2023-10-02,45210,32
2023-10-02,45710,49
2023-10-02,45720,4
2023-10-02,45730,5
2023-10-02,45740,3
2023-10-02,45750,8
2023-10-02,45770,12
2023-10-02,45790,20
2023-10-02,45800,7
2023-10-02,46110,61
2023-10-02,46130,61
2023-10-02,46150,228
2023-10-02,46170,31
2023-10-02,46230,31
2023-10-02,46710,30
2023-10-02,46720,5
2023-10-02,46730,8
2023-10-02,46770,62
2023-10-02,46780,11
2023-10-02,46790,21
2023-10-02,46800,15
2023-10-02,46810,9
2023-10-02,46820,58
2023-10-02,46830,36
2023-10-02,46840,48
2023-10-02,46860,8
2023-10-02,46870,20
2023-10-02,46880,15
2023-10-02,46890,20
2023-10-02,46900,13
2023-10-02,46910,15
2023-10-02,47111,123
2023-10-02,47113,98
2023-10-02,47130,85
2023-10-02,47150,40
2023-10-02,47170,37
2023-10-02,47190,122
2023-10-02,47210,15
2023-10-02,47230,26
2023-10-02,47250,44
2023-10-02,47280,21
