날짜,시군구지역코드,발생건수(건)
2023-10-01,11110,164
2023-10-01,11140,144
2023-10-01,11170,254
2023-10-01,11200,405
2023-10-01,11215,494
2023-10-01,11230,713
2023-10-01,11260,615
2023-10-01,11290,669
2023-10-01,11305,432
2023-10-01,11320,336
2023-10-01,11350,1144
2023-10-01,11380,1054
2023-10-01,11410,548
2023-10-01,11440,765
2023-10-01,11470,873
2023-10-01,11500,1170
2023-10-01,11530,751
2023-10-01,11545,294
2023-10-01,11560,740
2023-10-01,11590,623
2023-10-01,11620,524
2023-10-01,11650,938
2023-10-01,11680,1164
2023-10-01,11710,1464
2023-10-01,11740,940
2023-10-01,26110,29
2023-10-01,26140,155
2023-10-01,26170,78
2023-10-01,26200,118
2023-10-01,26230,535
2023-10-01,26260,431
2023-10-01,26290,475
2023-10-01,26320,350
2023-10-01,26350,552
2023-10-01,26380,619
2023-10-01,26410,386
2023-10-01,26440,565
2023-10-01,26470,287
2023-10-01,26500,241
2023-10-01,26530,352
2023-10-01,26710,526
2023-10-01,27110,121
2023-10-01,27140,707
2023-10-01,27170,117
2023-10-01,27200,94
2023-10-01,27230,630
2023-10-01,27260,643
2023-10-01,27290,747
2023-10-01,27710,505
2023-10-01,28110,559
2023-10-01,28140,74
2023-10-01,28170,0
2023-10-01,28185,1249
2023-10-01,28200,1241
2023-10-01,28237,912
2023-10-01,28245,511
2023-10-01,28260,1958
2023-10-01,28710,81
2023-10-01,28720,30
2023-10-01,29110,217
2023-10-01,29140,595
2023-10-01,29155,408
2023-10-01,29170,970
2023-10-01,29200,854
2023-10-01,30110,521
2023-10-01,30140,592
2023-10-01,30170,1865
2023-10-01,30200,1360
2023-10-01,30230,598
2023-10-01,31110,334
2023-10-01,31140,398
2023-10-01,31170,302
2023-10-01,31200,473
2023-10-01,31710,310
2023-10-01,36110,1678
2023-10-01,41111,650
2023-10-01,41113,1107
2023-10-01,41115,540
2023-10-01,41117,1249
2023-10-01,41131,497
2023-10-01,41133,405
2023-10-01,41135,770
2023-10-01,41150,1693
2023-10-01,41171,621
2023-10-01,41173,884
2023-10-01,41190,1798
2023-10-01,41210,732
2023-10-01,41220,1918
2023-10-01,41250,225
2023-10-01,41271,698
2023-10-01,41273,787
2023-10-01,41281,1458
2023-10-01,41285,860
2023-10-01,41287,922
2023-10-01,41290,210
2023-10-01,41310,403
2023-10-01,41360,1766
2023-10-01,41370,868
2023-10-01,41390,2212
2023-10-01,41410,893
2023-10-01,41430,370
2023-10-01,41450,1436
2023-10-01,41461,489
2023-10-01,41463,806
2023-10-01,41465,947
2023-10-01,41480,1877
2023-10-01,41500,828
2023-10-01,41550,570
2023-10-01,41570,1953
2023-10-01,41590,3648
2023-10-01,41610,786
2023-10-01,41630,957
2023-10-01,41650,159
2023-10-01,41670,234
2023-10-01,41800,89
2023-10-01,41820,63
2023-10-01,41830,120
2023-10-01,42110,0
2023-10-01,42130,0
2023-10-01,42170,0
2023-10-01,42210,0
2023-10-01,42230,1
2023-10-01,42720,0
2023-10-01,42750,0
2023-10-01,42770,0
2023-10-01,43111,792
2023-10-01,43112,582
2023-10-01,43113,936
2023-10-01,43114,706
2023-10-01,43130,517
2023-10-01,43150,51
2023-10-01,43720,48
2023-10-01,43730,55
2023-10-01,43740,41
2023-10-01,43745,116
2023-10-01,43750,282
2023-10-01,43760,57
2023-10-01,43770,208
2023-10-01,43800,15
2023-10-01,44131,591
2023-10-01,44133,1485
2023-10-01,44150,181
2023-10-01,44180,204
2023-10-01,44200,1065
2023-10-01,44210,253
2023-10-01,44230,127
2023-10-01,44250,129
2023-10-01,44270,232
2023-10-01,44710,106
2023-10-01,44760,47
2023-10-01,44770,64
2023-10-01,44790,28
2023-10-01,44800,133
2023-10-01,44810,107
2023-10-01,44825,69
2023-10-01,45111,762
2023-10-01,45113,732
2023-10-01,45130,466
2023-10-01,45140,419
2023-10-01,45180,210
2023-10-01,45190,56
2023-10-01,45210,168
2023-10-01,45710,202
2023-10-01,45720,31
2023-10-01,45730,27
2023-10-01,45740,31
2023-10-01,45750,83
2023-10-01,45770,59
2023-10-01,45790,77
2023-10-01,45800,117
2023-10-01,46110,847
2023-10-01,46130,663
2023-10-01,46150,503
2023-10-01,46170,201
2023-10-01,46230,339
2023-10-01,46710,82
2023-10-01,46720,35
2023-10-01,46730,23
2023-10-01,46770,61
2023-10-01,46780,32
2023-10-01,46790,66
2023-10-01,46800,71
2023-10-01,46810,79
2023-10-01,46820,127
2023-10-01,46830,157
2023-10-01,46840,459
2023-10-01,46860,35
2023-10-01,46870,89
2023-10-01,46880,60
2023-10-01,46890,101
2023-10-01,46900,84
2023-10-01,46910,114
2023-10-01,47111,380
2023-10-01,47113,462
2023-10-01,47130,330
2023-10-01,47150,128
2023-10-01,47170,76
2023-10-01,47190,833
2023-10-01,47210,80
2023-10-01,47230,249
2023-10-01,47250,61
2023-10-01,47280,175
2023-10-01,47290,576
2023-10-01,47730,55
2023-10-01,47750,26
2023-10-01,47760,15
2023-10-01,47770,28
2023-10-01,47820,46
2023-10-01,47830,22
2023-10-01,47840,48
2023-10-01,47850,152
2023-10-01,47900,60
2023-10-01,47920,23
2023-10-01,47930,44
2023-10-01,47940,11
2023-10-01,48121,290
2023-10-01,48123,678
2023-10-01,48125,173
2023-10-01,48127,209
2023-10-01,48129,405
2023-10-01,48170,485
2023-10-01,48220,334
2023-10-01,48240,161
2023-10-01,48250,1312
2023-10-01,48270,69
2023-10-01,48310,749
2023-10-01,48330,537
2023-10-01,48720,22
2023-10-01,48730,56
2023-10-01,48740,54
2023-10-01,48820,81
2023-10-01,48840,28
2023-10-01,48850,56
2023-10-01,48860,28
2023-10-01,48870,81
2023-10-01,48880,63
2023-10-01,48890,50
2023-10-01,49110,1310
2023-10-01,49130,390
2023-10-02,11110,701
2023-10-02,11140,663
2023-10-02,11170,1045
2023-10-02,11200,1988
2023-10-02,11215,2368
2023-10-02,11230,2233
2023-10-02,11260,3365
2023-10-02,11290,3046
2023-10-02,11305,2081
2023-10-02,11320,2513
2023-10-02,11350,3967
2023-10-02,11380,3930
2023-10-02,11410,2125
2023-10-02,11440,2169
2023-10-02,11470,3628
2023-10-02,11500,4720
2023-10-02,11530,3653
2023-10-02,11545,1563
2023-10-02,11560,2721
2023-10-02,11590,2632
2023-10-02,11620,3173
2023-10-02,11650,2936
2023-10-02,11680,4197
2023-10-02,11710,6067
2023-10-02,11740,3883
2023-10-02,26110,220
2023-10-02,26140,726
2023-10-02,26170,678
2023-10-02,26200,765
2023-10-02,26230,3522
2023-10-02,26260,2479
2023-10-02,26290,1939
2023-10-02,26320,2126
2023-10-02,26350,3566
2023-10-02,26380,3105
2023-10-02,26410,2058
2023-10-02,26440,2340
2023-10-02,26470,1920
2023-10-02,26500,1358
