날짜,시도지역코드,발생건수(건)
2023-10-01,11,17218
2023-10-01,26,5699
2023-10-01,27,3590
2023-10-01,28,7524
2023-10-01,29,3044
2023-10-01,30,4936
2023-10-01,31,1817
2023-10-01,41,39498
2023-10-01,42,1
2023-10-01,43,4406
2023-10-01,44,6499
2023-10-01,45,3440
2023-10-01,46,4228
2023-10-01,47,3880
2023-10-01,48,5921
2023-10-01,49,1700
2023-10-01,99,115842
2023-10-02,11,71367
2023-10-02,26,30697
2023-10-02,27,23872
2023-10-02,28,29261
2023-10-02,29,14440
2023-10-02,30,15116
2023-10-02,31,11460
2023-10-02,41,132841
2023-10-02,42,2
2023-10-02,43,14011
2023-10-02,44,24823
2023-10-02,45,14757
2023-10-02,46,15771
2023-10-02,47,21382
2023-10-02,48,33202
2023-10-02,49,5085
2023-10-02,99,467202
2023-10-03,11,25045
2023-10-03,26,8367
2023-10-03,27,7328
2023-10-03,28,11307
2023-10-03,29,5198
2023-10-03,30,8096
2023-10-03,31,4234
2023-10-03,41,61343
2023-10-03,42,0
2023-10-03,43,6819
2023-10-03,44,11566
2023-10-03,45,5569
2023-10-03,46,6455
2023-10-03,47,7223
2023-10-03,48,10882
2023-10-03,49,2605
2023-10-03,99,185873
2023-10-04,11,123123
2023-10-04,26,44781
2023-10-04,27,31051
2023-10-04,28,43792
2023-10-04,29,18961
2023-10-04,30,20670
2023-10-04,31,15393
2023-10-04,41,198462
2023-10-04,42,5
2023-10-04,43,20762
2023-10-04,44,34855
2023-10-04,45,23008
2023-10-04,46,21231
2023-10-04,47,31653
2023-10-04,48,41123
2023-10-04,49,7408
2023-10-04,99,694384
2023-10-05,11,93905
2023-10-05,26,33966
2023-10-05,27,24421
2023-10-05,28,33275
2023-10-05,29,14894
2023-10-05,30,16879
2023-10-05,31,11603
2023-10-05,41,157171
2023-10-05,42,2
2023-10-05,43,16821
2023-10-05,44,27233
2023-10-05,45,18028
2023-10-05,46,16948
2023-10-05,47,23760
2023-10-05,48,32443
2023-10-05,49,6421
2023-10-05,99,541933
2023-10-06,11,102529
2023-10-06,26,37354
2023-10-06,27,26490
2023-10-06,28,35830
2023-10-06,29,15922
2023-10-06,30,17668
2023-10-06,31,12690
2023-10-06,41,167885
2023-10-06,42,1
2023-10-06,43,17475
2023-10-06,44,28781
2023-10-06,45,19662
2023-10-06,46,18031
2023-10-06,47,25931
2023-10-06,48,35366
2023-10-06,49,6515
2023-10-06,99,583014
2023-10-07,11,84461
2023-10-07,26,30092
2023-10-07,27,21558
2023-10-07,28,29683
2023-10-07,29,13672
2023-10-07,30,15075
2023-10-07,31,9859
2023-10-07,41,138847
2023-10-07,42,2
2023-10-07,43,14060
2023-10-07,44,23569
2023-10-07,45,14752
2023-10-07,46,14358
2023-10-07,47,19348
2023-10-07,48,28633
2023-10-07,49,5177
2023-10-07,99,473559
2023-10-08,11,12309
2023-10-08,26,4148
2023-10-08,27,2581
2023-10-08,28,5203
