날짜,시군구지역코드,발생건수(건)
2023-10-01,11110,8
2023-10-01,11140,9
2023-10-01,11170,16
2023-10-01,11200,17
2023-10-01,11215,8
2023-10-01,11230,44
2023-10-01,11260,48
2023-10-01,11290,22
2023-10-01,11305,12
2023-10-01,11320,19
2023-10-01,11350,75
2023-10-01,11380,70
2023-10-01,11410,23
2023-10-01,11440,6
2023-10-01,11470,17
2023-10-01,11500,27
2023-10-01,11530,7
2023-10-01,11545,12
2023-10-01,11560,16
2023-10-01,11590,20
2023-10-01,11620,20
2023-10-01,11650,25
2023-10-01,11680,47
2023-10-01,11710,30
2023-10-01,11740,25
2023-10-01,26110,0
2023-10-01,26140,5
2023-10-01,26170,9
2023-10-01,26200,3
2023-10-01,26230,13
2023-10-01,26260,17
2023-10-01,26290,23
2023-10-01,26320,3
2023-10-01,26350,9
2023-10-01,26380,20
2023-10-01,26410,18
2023-10-01,26440,16
2023-10-01,26470,14
2023-10-01,26500,7
2023-10-01,26530,14
2023-10-01,26710,12
2023-10-01,27110,4
2023-10-01,27140,41
2023-10-01,27170,4
2023-10-01,27200,5
2023-10-01,27230,22
2023-10-01,27260,36
2023-10-01,27290,16
2023-10-01,27710,20
2023-10-01,28110,12
2023-10-01,28140,2
2023-10-01,28170,0
2023-10-01,28185,34
2023-10-01,28200,20
2023-10-01,28237,29
2023-10-01,28245,9
2023-10-01,28260,41
2023-10-01,28710,3
2023-10-01,28720,1
2023-10-01,29110,1
2023-10-01,29140,4
2023-10-01,29155,8
2023-10-01,29170,18
2023-10-01,29200,14
2023-10-01,30110,29
2023-10-01,30140,25
2023-10-01,30170,69
2023-10-01,30200,50
2023-10-01,30230,32
2023-10-01,31110,17
2023-10-01,31140,50
2023-10-01,31170,8
2023-10-01,31200,21
2023-10-01,31710,15
2023-10-01,36110,34
2023-10-01,41111,11
2023-10-01,41113,32
2023-10-01,41115,25
2023-10-01,41117,45
2023-10-01,41131,13
2023-10-01,41133,10
2023-10-01,41135,15
2023-10-01,41150,36
2023-10-01,41171,8
2023-10-01,41173,8
2023-10-01,41190,73
2023-10-01,41210,12
2023-10-01,41220,80
2023-10-01,41250,5
2023-10-01,41271,15
2023-10-01,41273,15
2023-10-01,41281,28
2023-10-01,41285,21
2023-10-01,41287,20
2023-10-01,41290,6
2023-10-01,41310,14
2023-10-01,41360,49
2023-10-01,41370,29
2023-10-01,41390,28
2023-10-01,41410,10
2023-10-01,41430,10
2023-10-01,41450,25
2023-10-01,41461,13
2023-10-01,41463,37
2023-10-01,41465,29
2023-10-01,41480,48
2023-10-01,41500,16
2023-10-01,41550,10
2023-10-01,41570,43
2023-10-01,41590,116
2023-10-01,41610,17
2023-10-01,41630,20
2023-10-01,41650,5
2023-10-01,41670,2
2023-10-01,41800,1
2023-10-01,41820,3
2023-10-01,41830,3
2023-10-01,42110,0
2023-10-01,42130,0
2023-10-01,42170,0
2023-10-01,42210,0
2023-10-01,42230,0
2023-10-01,42720,0
2023-10-01,42750,0
2023-10-01,42770,0
2023-10-01,43111,8
